,HOST,IP
0,aaplimg.com,17.178.96.39
1,apple-mapkit.com,10.112.105.27
2,apple.com,17.253.144.10
3,applemusic.com,17.253.142.4
4,appstore.com,17.172.224.26
5,beatsbydre.com,34.224.107.175
6,icloud-content.com,17.253.142.4
7,icloud.com,17.253.144.10
8,itunes.com,17.253.144.11
9,me.com,17.178.96.97
10,mzstatic.com,17.253.142.4
11,shazam.com,44.194.247.153
12,swift.org,17.253.144.12
13,webkit.org,54.190.50.171
